strategy,ticker,name,total_return_pct,final_capital,num_trades,win_rate,max_drawdown
Breakout_50_10,263750,펄어비스,-34.27666589999973,65723334.10000027,27,18.51851851851852,-35.990877857336216
VolBreak_0.6_5,293490,카카오게임즈,-34.45591689999863,65544083.10000137,137,44.52554744525548,-53.4323955179412
MeanRev_20_2,028300,HLB,-35.539412890999714,64460587.10900029,24,54.166666666666664,-55.043646359041354
VolBreak_0.5_3,051910,LG화학,-35.83772919999762,64162270.80000238,195,46.666666666666664,-46.59621019926331
MultiFactor_334_40,051910,LG화학,-35.96300489999873,64036995.10000127,100,20.0,-74.96313932082984
Voting_4,005380,현대차,-36.18944359999882,63810556.40000118,120,31.666666666666664,-57.736717159352544
VolBreak_0.5_3,035720,카카오,-36.33979248499773,63660207.51500227,221,39.81900452488688,-49.336025071646375
MomQuality_10_5,373220,LG에너지솔루션,-37.006627499999354,62993372.50000065,65,32.30769230769231,-62.42558808853157
Adaptive_30,028300,HLB,-37.76691006199963,62233089.938000366,72,27.77777777777778,-78.1406169118
MultiFactor_443_50,293490,카카오게임즈,-38.07096528999928,61929034.71000072,71,18.30985915492958,-73.90566447605539
VolBreak_0.6_5,373220,LG에너지솔루션,-38.39517199999874,61604828.00000126,98,44.89795918367347,-48.34077995848468
VolBreak_0.6_5,068270,셀트리온제약,-39.46423540299852,60535764.59700148,177,40.11299435028249,-47.99165239011966
VolBreak_0.5_3,373220,LG에너지솔루션,-39.721532499998546,60278467.50000145,110,48.18181818181818,-52.632244386646065
MultiFactor_532_60,005380,현대차,-40.142881299999004,59857118.700000994,92,30.434782608695656,-49.82812123528503
Voting_3,068270,셀트리온제약,-40.577249864998635,59422750.13500137,150,34.0,-65.67943596379452
MultiFactor_443_50,263750,펄어비스,-40.80274761999928,59197252.38000072,105,24.761904761904763,-63.7997012798274
Voting_5,005380,현대차,-42.16245729999885,57837542.70000115,123,39.02439024390244,-50.49230021081736
VolBreak_0.4_3,035720,카카오,-42.287579903997525,57712420.096002474,253,39.130434782608695,-53.18886354970269
Breakout_20_5,263750,펄어비스,-42.78304355999951,57216956.44000049,48,35.41666666666667,-43.569490309999544
Adaptive_30,068270,셀트리온제약,-43.22553398299915,56774466.01700085,97,22.68041237113402,-62.315968079141285
Voting_3,293490,카카오게임즈,-43.22645743999911,56773542.56000089,100,28.999999999999996,-79.87920811511565
VolBreak_0.4_3,373220,LG에너지솔루션,-43.50932849999839,56490671.50000161,123,44.71544715447154,-58.779824874346275
VolBreak_0.5_3,068270,셀트리온제약,-43.74735302999798,56252646.97000202,230,40.869565217391305,-56.2723517036168
MomQuality_20_10,068270,셀트리온제약,-43.99878558799922,56001214.412000775,102,33.33333333333333,-54.90648369118826
Voting_4,293490,카카오게임즈,-44.46449189999919,55535508.100000806,93,26.881720430107524,-76.45720155131134
Voting_3,373220,LG에너지솔루션,-44.48250399999934,55517496.00000066,56,21.428571428571427,-71.42944184253692
MomQuality_20_10,263750,펄어비스,-46.26232605999919,53737673.94000081,89,28.08988764044944,-70.13440026995298
VolBreak_0.6_5,028300,HLB,-46.53197387499858,53468026.12500142,186,46.236559139784944,-62.21381288479474
Adaptive_30,293490,카카오게임즈,-47.090138989999616,52909861.010000385,49,18.367346938775512,-66.45352031218079
Voting_3,005380,현대차,-47.469924499998825,52530075.50000117,127,24.409448818897637,-62.62871837635623
VolBreak_0.5_3,293490,카카오게임즈,-48.0625386199989,51937461.380001105,145,43.44827586206896,-58.54181459125151
MultiFactor_443_50,373220,LG에너지솔루션,-48.132128499999446,51867871.50000056,48,18.75,-62.249352554081305
VolBreak_0.4_3,028300,HLB,-48.28316652699788,51716833.47300212,258,45.348837209302324,-69.17993372197348
Breakout_10_3,373220,LG에너지솔루션,-48.31562149999934,51684378.50000066,53,30.18867924528302,-54.251035974232856
Voting_5,068270,셀트리온제약,-49.11353887299922,50886461.12700078,104,36.53846153846153,-54.102133502939765
MomQuality_20_10,028300,HLB,-49.34145095499923,50658549.04500077,104,29.807692307692307,-84.42269158997921
Voting_4,028300,HLB,-49.98928988899896,50010710.11100104,141,35.46099290780142,-86.95548752394976
MomQuality_10_5,251270,넷마블,-50.885706749998874,49114293.25000113,118,38.13559322033898,-60.769519606755296
MomQuality_10_5,263750,펄어비스,-51.05559394999878,48944406.05000123,132,35.60606060606061,-71.02263741544785
VolBreak_0.5_3,263750,펄어비스,-52.27289038999828,47727109.61000172,232,46.12068965517241,-59.776556553268435
Adaptive_40,263750,펄어비스,-52.292179399999306,47707820.600000694,75,33.33333333333333,-48.87279617503485
Adaptive_40,293490,카카오게임즈,-52.824285209999466,47175714.790000536,60,20.0,-71.63877721883313
VolBreak_0.6_5,051910,LG화학,-52.88995169999823,47110048.30000178,150,40.666666666666664,-57.9763012834297
MultiFactor_334_40,373220,LG에너지솔루션,-54.56597149999938,45434028.50000062,52,15.384615384615385,-69.87856746534686
MultiFactor_334_40,293490,카카오게임즈,-55.25013076999931,44749869.2300007,73,13.698630136986301,-78.01944699196912
VolBreak_0.5_3,006400,삼성SDI,-56.08551601099813,43914483.98900188,205,39.02439024390244,-61.11266678417303
