category,ticker,name,strategy,total_return_pct
투자자별,051915,051915,InstMom_20,0.0
투자자별,051915,051915,InstMom_10,0.0
투자자별,060980,060980,InstMom_10,0.0
투자자별,060980,060980,InstMom_20,0.0
투자자별,003555,003555,InstMom_20,0.0
투자자별,001460,001460,InstMom_10,0.0
투자자별,015590,015590,InstMom_10,0.0
투자자별,000300,000300,InstMom_20,0.0
투자자별,051900,051900,InstMom_10,0.0
투자자별,000300,000300,InstMom_10,0.0
투자자별,039570,039570,InstMom_20,0.0
투자자별,000120,000120,InstMom_10,0.0
투자자별,000120,000120,InstMom_20,0.0
투자자별,007070,007070,InstMom_10,0.0
투자자별,007700,007700,InstMom_20,0.0
투자자별,051900,051900,InstMom_20,0.0
투자자별,000215,000215,InstMom_20,0.0
투자자별,001045,001045,InstMom_20,0.0
투자자별,001045,001045,InstMom_10,0.0
투자자별,007340,007340,InstMom_10,0.0
투자자별,006360,006360,InstMom_10,0.0
투자자별,006360,006360,InstMom_20,0.0
투자자별,051905,051905,InstMom_10,0.0
투자자별,000680,000680,InstMom_10,0.0
투자자별,012030,012030,BB_20_2_F5,-0.0262507139998227
투자자별,035000,035000,RSI_7_25_F10,-0.0458080249994397
투자자별,001040,001040,RetailContra_5_80,-0.0900274899989962
앙상블,373220,LG에너지솔루션,MeanRev_20_2.5,-0.0938339999999702
투자자별,014790,014790,RSI_7_25_F10,-0.1031233539992123
투자자별,000480,000480,BB_20_2.5_F10,-0.1325598999999016
투자자별,00104K,00104K,RetailContra_10_90,-0.1368661999996751
투자자별,011150,011150,VolAdj_F5_V15,-0.2106710649983733
투자자별,002460,002460,BB_20_2.5_F10,-0.2698563899998962
투자자별,010120,010120,BB_20_2_F5,-0.4455183999996781
투자자별,017860,017860,RSI_7_25_F10,-0.4906917209997773
앙상블,293490,카카오게임즈,MeanRev_20_2.5,-0.5290792799999415
투자자별,007700,007700,RetailContra_5_80,-0.5311791549979598
투자자별,001250,001250,VolSpike_10_3x,-0.5383542599997223
투자자별,051915,051915,VolSpike_10_3x,-0.5417079999999702
투자자별,014790,014790,TrendStr_10_50_5,-0.6396865199993252
투자자별,027410,027410,VolSpike_20_2x,-0.6574139189994335
투자자별,051910,051910,VolAdj_F5_V15,-0.7091341999999881
투자자별,007340,007340,BB_20_2_F5,-0.736740360999763
앙상블,293490,카카오게임즈,MeanRev_20_2,-0.8130269899998308
투자자별,011155,011155,RSI_14_30_F5,-0.8602344699993134
투자자별,000215,000215,RetailContra_5_80,-0.9484556449989824
투자자별,032640,032640,RSI_7_25_F10,-1.0752808399993627
앙상블,5930,삼성전자,VolBreak_0.5_3,-1.1770342999977916
투자자별,003580,003580,VolAdj_F5_V15,-1.296006290999204
투자자별,000210,000210,VolSpike_10_3x,-1.306350245999813
투자자별,001045,001045,VolAdj_F10_V20,-1.3137314459992795
투자자별,017860,017860,RetailContra_5_80,-1.3603414629996866
앙상블,6400,삼성SDI,MeanRev_20_2.5,-1.3943265899999886
투자자별,001530,001530,BB_20_2_F5,-1.3971100459997654
투자자별,015590,015590,RetailContra_5_80,-1.4414905999989065
앙상블,51910,LG화학,MeanRev_20_2.5,-1.4866014999999702
앙상블,28300,HLB,Breakout_50_10,-1.4927469739996049
투자자별,015590,015590,BB_20_2_F5,-1.584118678999603
투자자별,000680,000680,SmartDiv_50_20,-1.6613521699988694
투자자별,011070,011070,BB_20_2.5_F10,-1.701384299999863
투자자별,006260,006260,MACD_12_26_9_F5,-1.753160999999389
투자자별,015590,015590,BB_20_2.5_F10,-1.757539209999874
투자자별,037560,037560,VolSpike_20_2x,-1.984094134999216
투자자별,003555,003555,VolSpike_20_2x,-2.073090613999069
투자자별,000590,000590,RSI_14_30_F5,-2.08232604999952
투자자별,014790,014790,TrendStr_20_100_10,-2.0825220499995054
투자자별,00104K,00104K,MACD_12_26_9_F5,-2.11264219999972
앙상블,251270,넷마블,MeanRev_20_2.5,-2.1468494999999703
투자자별,000680,000680,MACD_12_26_9_F5,-2.1779388349994573
