exchange,universe,strategy,kama_p,tsmom_p,return,sharpe,mdd,trades
bithumb,top10,buy_hold,20,30,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top10,buy_hold,5,90,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top10,kama_only,10,60,1939.8926044276836,1.0286321986998423,-0.8147733821709832,1747
bithumb,top10,kama_only,20,30,2326.067986979324,1.0021853176430695,-0.8397225876365871,1175
bithumb,top10,kama_only,5,90,8208.890929022675,1.1447002723565967,-0.8186847668840849,2497
bithumb,top10,tsmom_only,10,60,22.412628134387862,0.6116195203127252,-0.814595717530203,473
bithumb,top10,tsmom_only,20,30,382.0373931628725,0.8795209981083618,-0.8470319837308492,862
bithumb,top10,tsmom_only,5,90,29.69553429962691,0.6340550272001425,-0.9005512678989138,349
bithumb,top10,or_loose,10,60,1978.392021655363,1.2011039651926827,-0.5606078143318513,1516
bithumb,top10,or_loose,20,30,11243.276655786716,1.3624935672617096,-0.568407450801029,1142
bithumb,top10,or_loose,5,90,1299.4132646512267,1.1632880125993297,-0.5115953506013873,1774
bithumb,top10,or_loose_no_gate,10,60,61.690218272456164,0.7081724055627301,-0.7352056593704015,1019
bithumb,top10,or_loose_no_gate,20,30,6333.6225552546875,1.0694453775363477,-0.776394666216624,907
bithumb,top10,or_loose_no_gate,5,90,36.70695719238723,0.6532520897781846,-0.9002479883720783,1247
bithumb,top20,buy_hold,10,60,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top20,buy_hold,20,30,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top20,buy_hold,5,90,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top20,kama_only,10,60,667.9639209130103,0.9104651019699547,-0.8346409698164433,2398
bithumb,top20,kama_only,20,30,853.1586183547097,0.899595225306268,-0.8757031451544298,1692
bithumb,top20,kama_only,5,90,3320.3824902236374,1.0336069214443162,-0.8803350736766309,3377
bithumb,top20,tsmom_only,10,60,71.39875731698486,0.7197983074377928,-0.8724790843490768,661
bithumb,top20,tsmom_only,20,30,334.73767973574206,0.856157219178681,-0.9033791641961024,1205
bithumb,top20,tsmom_only,5,90,24.664265525924925,0.6156603113602604,-0.891862371389062,474
bithumb,top20,or_loose,10,60,3051.9842407418473,1.2229453502122403,-0.5606078143318513,2064
bithumb,top20,or_loose,20,30,8957.666927385008,1.3102637989887327,-0.5850876689496294,1620
bithumb,top20,or_loose,5,90,1606.200594390452,1.1702887073750303,-0.5115953506013873,2414
