exchange,universe,strategy,kama_p,tsmom_p,btc_ma_p,return,sharpe,mdd,trades
bithumb,btc_only,kama_only,5,90,30,89.64332155916061,0.8625837301699402,-0.5879671018228205,692
bithumb,btc_only,kama_only,10,60,30,75.2432936579968,0.8431680569961532,-0.6267325207692427,558
bithumb,btc_only,kama_only,20,30,50,63.196315064035915,0.8163265596645283,-0.6106977942334055,426
bithumb,btc_only,tsmom_only,5,90,30,152.08203747355319,0.9032927580984247,-0.6854430379746835,168
bithumb,btc_only,tsmom_only,10,60,30,124.10830402713025,0.8830350944111318,-0.7586242631296881,164
bithumb,btc_only,tsmom_only,20,30,50,450.6977618840368,1.1042717537272972,-0.6368402664344928,258
bithumb,btc_only,kama_or_tsmom,5,90,30,176.40562113675935,0.8676176106278563,-0.7190946734662539,358
bithumb,btc_only,kama_or_tsmom,10,60,30,104.9668856303274,0.8126944655317615,-0.7317184300015548,352
bithumb,btc_only,kama_or_tsmom,20,30,50,372.45654605929525,1.0148049113267836,-0.6144451534068998,324
bithumb,btc_only,kama_and_tsmom,5,90,30,86.13588288371055,0.9682878707189764,-0.5025073493064197,484
bithumb,btc_only,kama_and_tsmom,10,60,30,93.4417445288653,0.9811277001186318,-0.551901358365919,362
bithumb,btc_only,kama_and_tsmom,20,30,50,81.44720621412758,0.9176462018579734,-0.5411836517932133,350
bithumb,btc_only,or_loose,5,90,30,128.189869131097,0.9299491123119429,-0.6061805788856198,372
bithumb,btc_only,or_loose,10,60,30,144.42886869095022,0.9442309262232313,-0.6346675840342335,346
bithumb,btc_only,or_loose,20,30,50,1049.1765501929137,1.2437401319801649,-0.5482250795513973,188
bithumb,top5,buy_hold,5,90,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top5,buy_hold,10,60,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top5,buy_hold,20,30,50,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top5,kama_only,5,90,30,201.90330582454632,0.8147733230925094,-0.9159465524005895,1458
bithumb,top5,kama_only,10,60,30,206.05441141043937,0.8341368358187445,-0.7633271873451795,1054
bithumb,top5,kama_only,20,30,50,544.889711557267,0.8977247692849322,-0.7741950303091154,828
bithumb,top5,tsmom_only,5,90,30,5.973872966721011,0.4794448515296864,-0.9408115471274248,258
bithumb,top5,tsmom_only,10,60,30,22.979574359132673,0.6264396656951191,-0.8781205593976268,280
bithumb,top5,tsmom_only,20,30,50,-1.0,0.48872910416367504,-1.0,521
bithumb,top5,kama_or_tsmom,5,90,30,23.895700539871957,0.6151910613469512,-0.8746186462402138,632
bithumb,top5,kama_or_tsmom,10,60,30,18.589957552331104,0.593251836462286,-0.8120990178847707,540
bithumb,top5,kama_or_tsmom,20,30,50,-1.0,0.8199679971967038,-1.0,571
bithumb,top5,kama_and_tsmom,5,90,30,99.858060656995,0.7717320621675635,-0.9333912170863704,988
bithumb,top5,kama_and_tsmom,10,60,30,239.16088412411412,0.883676993069098,-0.8240874531464839,738
bithumb,top5,kama_and_tsmom,20,30,50,214.88816784627699,0.8204702686501961,-0.7252244725544565,768
bithumb,top5,or_loose,5,90,30,231.4020483622304,0.9864381847672228,-0.6061805788856198,956
bithumb,top5,or_loose,10,60,30,234.86572133519155,0.9958016807476117,-0.6346675840342335,788
bithumb,top5,or_loose,20,30,50,1442.1343728508175,1.2294828527056143,-0.6931122741653173,446
bithumb,top10,buy_hold,5,90,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top10,buy_hold,10,60,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top10,buy_hold,20,30,50,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,top10,kama_only,5,90,30,217.4537462149647,0.7978657742567277,-0.9266200975691392,2505
bithumb,top10,kama_only,10,60,30,118.92805396704472,0.7559900569124591,-0.8818533129910288,1723
bithumb,top10,kama_only,20,30,50,319.94161580695265,0.8240472020397953,-0.8524206581498084,1117
bithumb,top10,tsmom_only,5,90,30,4.639147640548628,0.46202102344633744,-0.9341685811302939,349
bithumb,top10,tsmom_only,10,60,30,8.782666511658269,0.518192307101268,-0.8407222400894212,469
bithumb,top10,tsmom_only,20,30,50,63.229902840484,0.7167469961698847,-0.7563689325469002,808
bithumb,top10,kama_or_tsmom,5,90,30,6.451578707137603,0.48785707721015403,-0.8960707574913589,1185
bithumb,top10,kama_or_tsmom,10,60,30,26.196066115081216,0.6213304047514722,-0.7938701641562315,1005
