rank,market,exchange,timeframe,universe,strategy,params,return_pct,sharpe,mdd_pct,trades
369,spot,binance_spot,1d,top10,tsmom_only,KAMA20/TSMOM30,2565.1801457063298,0.691974145225722,-84.50692403022695,1157
370,spot,bithumb,1d,top5,tsmom_only,KAMA5/TSMOM90,4658.978671845208,0.6907035340789595,-91.80628040819664,250
371,spot,binance_spot,1d,top5,or_loose_no_gate,KAMA20/TSMOM30,1152.0929258659958,0.6886766890339745,-78.42809147990862,629
372,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
373,futures,binance_futures,1d,top5,OR_LOOSE+funding+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
374,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
375,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
376,futures,binance_futures,1d,top5,OR_LOOSE+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
377,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
378,futures,binance_futures,1d,top5,OR_LOOSE+oi+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
379,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,470.57872773897947,0.6855717766464482,-52.359838127924085,730
380,spot,binance_spot,1d,top5,buy_hold,KAMA10/TSMOM60,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
381,spot,binance_spot,1d,top5,buy_hold,KAMA20/TSMOM30,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
382,spot,binance_spot,1d,top10,buy_hold,KAMA20/TSMOM30,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
383,spot,binance_spot,1d,top20,buy_hold,KAMA5/TSMOM90,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
384,spot,binance_spot,1d,top20,buy_hold,KAMA10/TSMOM60,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
385,spot,binance_spot,1d,top5,buy_hold,KAMA5/TSMOM90,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
386,spot,binance_spot,1d,top10,buy_hold,KAMA10/TSMOM60,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
387,spot,binance_spot,1d,top20,buy_hold,KAMA20/TSMOM30,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
388,spot,binance_spot,1d,top10,buy_hold,KAMA5/TSMOM90,1433.4691056111221,0.6789468986801255,-87.02185557778091,2
389,spot,upbit,1d,top5,tsmom_only,KAMA20/TSMOM30,1370.5761199456347,0.6769158243468064,-81.79349980261377,477
390,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+lsratio+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
391,futures,binance_futures,1d,top10,OR_LOOSE+oi+lsratio+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
392,futures,binance_futures,1d,top10,OR_LOOSE+lsratio+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
393,futures,binance_futures,1d,top10,OR_LOOSE+funding+lsratio+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
394,futures,binance_futures,1d,top10,OR_LOOSE+funding+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
395,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
396,futures,binance_futures,1d,top10,OR_LOOSE+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
397,futures,binance_futures,1d,top10,OR_LOOSE+oi+vix,KAMA5/TSMOM90/MA30,504.2480802194087,0.6737962623558811,-72.78056117072555,1386
398,futures,binance_futures,1d,top10,OR_LOOSE+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
399,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
400,futures,binance_futures,1d,top10,OR_LOOSE+funding+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
401,futures,binance_futures,1d,top10,OR_LOOSE+funding+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
402,futures,binance_futures,1d,top10,OR_LOOSE+oi+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
403,futures,binance_futures,1d,top10,OR_LOOSE+oi+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
404,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
405,futures,binance_futures,1d,top10,OR_LOOSE+lsratio+fear_greed+vix,KAMA20/TSMOM30/MA50,419.6308924093313,0.6737443975568753,-51.3129082242219,1054
