universe,kama_p,tsmom_p,btc_ma_p,filters,funding,oi,lsratio,fear_greed,vix,dxy,return,sharpe,mdd,trades,win_rate
top10,20,30,50,oi+fear_greed+vix+dxy,False,True,False,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top10,20,30,50,oi+lsratio,False,True,True,False,False,False,48.778550453045455,0.916372356493853,-0.6085631811290585,708,0.2711864406779661
top10,20,30,50,oi+lsratio+dxy,False,True,True,False,False,True,5.959151817562101,0.7572650650064922,-0.5922947175023748,1734,0.40945790080738176
top10,20,30,50,oi+lsratio+vix,False,True,True,False,True,False,28.918336729536527,1.0586263884355116,-0.5429344058127876,748,0.2727272727272727
top10,20,30,50,oi+lsratio+vix+dxy,False,True,True,False,True,True,6.730551605578651,0.805838658752577,-0.47511824061329005,1714,0.4130688448074679
top10,20,30,50,oi+lsratio+fear_greed,False,True,True,True,False,False,12.07542490976495,0.8162789406562749,-0.5775330262953284,996,0.3333333333333333
top10,20,30,50,oi+lsratio+fear_greed+dxy,False,True,True,True,False,True,0.37414633065436576,0.26299700677200816,-0.5449757150651076,1740,0.40344827586206894
top10,20,30,50,oi+lsratio+fear_greed+vix,False,True,True,True,True,False,4.196308924093313,0.6737443975568753,-0.513129082242219,1054,0.32827324478178366
top10,20,30,50,oi+lsratio+fear_greed+vix+dxy,False,True,True,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top10,20,30,50,funding,True,False,False,False,False,False,48.778550453045455,0.916372356493853,-0.6085631811290585,708,0.2711864406779661
top10,20,30,50,funding+dxy,True,False,False,False,False,True,5.959151817562101,0.7572650650064922,-0.5922947175023748,1734,0.40945790080738176
top10,20,30,50,funding+vix,True,False,False,False,True,False,28.918336729536527,1.0586263884355116,-0.5429344058127876,748,0.2727272727272727
top10,20,30,50,funding+vix+dxy,True,False,False,False,True,True,6.730551605578651,0.805838658752577,-0.47511824061329005,1714,0.4130688448074679
top10,20,30,50,funding+fear_greed,True,False,False,True,False,False,12.07542490976495,0.8162789406562749,-0.5775330262953284,996,0.3333333333333333
top10,20,30,50,funding+fear_greed+dxy,True,False,False,True,False,True,0.37414633065436576,0.26299700677200816,-0.5449757150651076,1740,0.40344827586206894
top10,20,30,50,funding+fear_greed+vix,True,False,False,True,True,False,4.196308924093313,0.6737443975568753,-0.513129082242219,1054,0.32827324478178366
top10,20,30,50,funding+fear_greed+vix+dxy,True,False,False,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top10,20,30,50,funding+lsratio,True,False,True,False,False,False,48.778550453045455,0.916372356493853,-0.6085631811290585,708,0.2711864406779661
top10,20,30,50,funding+lsratio+dxy,True,False,True,False,False,True,5.959151817562101,0.7572650650064922,-0.5922947175023748,1734,0.40945790080738176
top10,20,30,50,funding+lsratio+vix,True,False,True,False,True,False,28.918336729536527,1.0586263884355116,-0.5429344058127876,748,0.2727272727272727
top10,20,30,50,funding+lsratio+vix+dxy,True,False,True,False,True,True,6.730551605578651,0.805838658752577,-0.47511824061329005,1714,0.4130688448074679
top10,20,30,50,funding+lsratio+fear_greed,True,False,True,True,False,False,12.07542490976495,0.8162789406562749,-0.5775330262953284,996,0.3333333333333333
top10,20,30,50,funding+lsratio+fear_greed+dxy,True,False,True,True,False,True,0.37414633065436576,0.26299700677200816,-0.5449757150651076,1740,0.40344827586206894
top10,20,30,50,funding+lsratio+fear_greed+vix,True,False,True,True,True,False,4.196308924093313,0.6737443975568753,-0.513129082242219,1054,0.32827324478178366
top10,20,30,50,funding+lsratio+fear_greed+vix+dxy,True,False,True,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top10,20,30,50,funding+oi,True,True,False,False,False,False,48.778550453045455,0.916372356493853,-0.6085631811290585,708,0.2711864406779661
top10,20,30,50,funding+oi+dxy,True,True,False,False,False,True,5.959151817562101,0.7572650650064922,-0.5922947175023748,1734,0.40945790080738176
top10,20,30,50,funding+oi+vix,True,True,False,False,True,False,28.918336729536527,1.0586263884355116,-0.5429344058127876,748,0.2727272727272727
top10,20,30,50,funding+oi+vix+dxy,True,True,False,False,True,True,6.730551605578651,0.805838658752577,-0.47511824061329005,1714,0.4130688448074679
top10,20,30,50,funding+oi+fear_greed,True,True,False,True,False,False,12.07542490976495,0.8162789406562749,-0.5775330262953284,996,0.3333333333333333
top10,20,30,50,funding+oi+fear_greed+dxy,True,True,False,True,False,True,0.37414633065436576,0.26299700677200816,-0.5449757150651076,1740,0.40344827586206894
top10,20,30,50,funding+oi+fear_greed+vix,True,True,False,True,True,False,4.196308924093313,0.6737443975568753,-0.513129082242219,1054,0.32827324478178366
top10,20,30,50,funding+oi+fear_greed+vix+dxy,True,True,False,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top10,20,30,50,funding+oi+lsratio,True,True,True,False,False,False,48.778550453045455,0.916372356493853,-0.6085631811290585,708,0.2711864406779661
top10,20,30,50,funding+oi+lsratio+dxy,True,True,True,False,False,True,5.959151817562101,0.7572650650064922,-0.5922947175023748,1734,0.40945790080738176
top10,20,30,50,funding+oi+lsratio+vix,True,True,True,False,True,False,28.918336729536527,1.0586263884355116,-0.5429344058127876,748,0.2727272727272727
top10,20,30,50,funding+oi+lsratio+vix+dxy,True,True,True,False,True,True,6.730551605578651,0.805838658752577,-0.47511824061329005,1714,0.4130688448074679
top10,20,30,50,funding+oi+lsratio+fear_greed,True,True,True,True,False,False,12.07542490976495,0.8162789406562749,-0.5775330262953284,996,0.3333333333333333
top10,20,30,50,funding+oi+lsratio+fear_greed+dxy,True,True,True,True,False,True,0.37414633065436576,0.26299700677200816,-0.5449757150651076,1740,0.40344827586206894
top10,20,30,50,funding+oi+lsratio+fear_greed+vix,True,True,True,True,True,False,4.196308924093313,0.6737443975568753,-0.513129082242219,1054,0.32827324478178366
top10,20,30,50,funding+oi+lsratio+fear_greed+vix+dxy,True,True,True,True,True,True,1.9303815567853788,0.5333061919374107,-0.4671314494781857,1762,0.4018161180476731
top20,5,90,30,base,False,False,False,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,dxy,False,False,False,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,vix,False,False,False,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,vix+dxy,False,False,False,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,fear_greed,False,False,False,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,fear_greed+dxy,False,False,False,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,fear_greed+vix,False,False,False,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,fear_greed+vix+dxy,False,False,False,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,lsratio,False,False,True,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,lsratio+dxy,False,False,True,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,lsratio+vix,False,False,True,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,lsratio+vix+dxy,False,False,True,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,lsratio+fear_greed,False,False,True,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,lsratio+fear_greed+dxy,False,False,True,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,lsratio+fear_greed+vix,False,False,True,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,lsratio+fear_greed+vix+dxy,False,False,True,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,oi,False,True,False,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,oi+dxy,False,True,False,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,oi+vix,False,True,False,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,oi+vix+dxy,False,True,False,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,oi+fear_greed,False,True,False,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,oi+fear_greed+dxy,False,True,False,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,oi+fear_greed+vix,False,True,False,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,oi+fear_greed+vix+dxy,False,True,False,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,oi+lsratio,False,True,True,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,oi+lsratio+dxy,False,True,True,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,oi+lsratio+vix,False,True,True,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,oi+lsratio+vix+dxy,False,True,True,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,oi+lsratio+fear_greed,False,True,True,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,oi+lsratio+fear_greed+dxy,False,True,True,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,oi+lsratio+fear_greed+vix,False,True,True,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,oi+lsratio+fear_greed+vix+dxy,False,True,True,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,funding,True,False,False,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,funding+dxy,True,False,False,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,funding+vix,True,False,False,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,funding+vix+dxy,True,False,False,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,funding+fear_greed,True,False,False,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,funding+fear_greed+dxy,True,False,False,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,funding+fear_greed+vix,True,False,False,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,funding+fear_greed+vix+dxy,True,False,False,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,funding+lsratio,True,False,True,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,funding+lsratio+dxy,True,False,True,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,funding+lsratio+vix,True,False,True,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,funding+lsratio+vix+dxy,True,False,True,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,funding+lsratio+fear_greed,True,False,True,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,funding+lsratio+fear_greed+dxy,True,False,True,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,funding+lsratio+fear_greed+vix,True,False,True,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,funding+lsratio+fear_greed+vix+dxy,True,False,True,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,funding+oi,True,True,False,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,funding+oi+dxy,True,True,False,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,funding+oi+vix,True,True,False,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,funding+oi+vix+dxy,True,True,False,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,funding+oi+fear_greed,True,True,False,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,funding+oi+fear_greed+dxy,True,True,False,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,funding+oi+fear_greed+vix,True,True,False,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,funding+oi+fear_greed+vix+dxy,True,True,False,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,5,90,30,funding+oi+lsratio,True,True,True,False,False,False,8.470682865280969,0.7527805117088728,-0.8051031723389046,1946,0.25488180883864336
top20,5,90,30,funding+oi+lsratio+dxy,True,True,True,False,False,True,1.5739882057235401,0.45982113307475975,-0.6456044609957097,2682,0.3497390007457122
top20,5,90,30,funding+oi+lsratio+vix,True,True,True,False,True,False,9.585805342948966,0.7785471091874788,-0.8323259781089821,1946,0.2589928057553957
top20,5,90,30,funding+oi+lsratio+vix+dxy,True,True,True,False,True,True,0.9290912326556052,0.3778901938468242,-0.6851818005809419,2682,0.3504847129008203
top20,5,90,30,funding+oi+lsratio+fear_greed,True,True,True,True,False,False,0.2565210385088085,0.2576979484467827,-0.7852755612574304,2284,0.276707530647986
top20,5,90,30,funding+oi+lsratio+fear_greed+dxy,True,True,True,True,False,True,-0.11191693806091589,0.11834955284095174,-0.6482086402763151,2684,0.334575260804769
top20,5,90,30,funding+oi+lsratio+fear_greed+vix,True,True,True,True,True,False,0.2943159873810457,0.26315492924424144,-0.8061327439430359,2294,0.2842197035745423
top20,5,90,30,funding+oi+lsratio+fear_greed+vix+dxy,True,True,True,True,True,True,-0.43501847039893093,-0.05665667395723641,-0.6971629800859683,2692,0.3395245170876672
top20,10,60,30,base,False,False,False,False,False,False,12.619024148607862,0.825257073919573,-0.8185632915573094,1714,0.2765460910151692
top20,10,60,30,dxy,False,False,False,False,False,True,2.928699328489369,0.5754906377743074,-0.6302489288943397,2590,0.3667953667953668
top20,10,60,30,vix,False,False,False,False,True,False,13.663601003266335,0.8467086686222238,-0.8302305164012146,1730,0.2809248554913295
top20,10,60,30,vix+dxy,False,False,False,False,True,True,2.28252860258468,0.5273871663744266,-0.6720884830101133,2584,0.36455108359133126
top20,10,60,30,fear_greed,False,False,False,True,False,False,0.7554072176096841,0.35196023213165917,-0.7733588317445081,2004,0.3003992015968064
top20,10,60,30,fear_greed+dxy,False,False,False,True,False,True,0.1991789246805225,0.22236286246556203,-0.6499276569567115,2596,0.35362095531587057
top20,10,60,30,fear_greed+vix,False,False,False,True,True,False,0.2102082799930011,0.2455181417817855,-0.8082856053303853,2058,0.29737609329446063
top20,10,60,30,fear_greed+vix+dxy,False,False,False,True,True,True,-0.13054685188455278,0.10570214754304956,-0.6914014152859608,2596,0.35362095531587057
top20,10,60,30,lsratio,False,False,True,False,False,False,12.619024148607862,0.825257073919573,-0.8185632915573094,1714,0.2765460910151692
top20,10,60,30,lsratio+dxy,False,False,True,False,False,True,2.928699328489369,0.5754906377743074,-0.6302489288943397,2590,0.3667953667953668
top20,10,60,30,lsratio+vix,False,False,True,False,True,False,13.663601003266335,0.8467086686222238,-0.8302305164012146,1730,0.2809248554913295
top20,10,60,30,lsratio+vix+dxy,False,False,True,False,True,True,2.28252860258468,0.5273871663744266,-0.6720884830101133,2584,0.36455108359133126
