symbol,profit_factor,total_return,win_rate,mdd,num_trades,sharpe,data_start,data_end
KAITOUSDT,0.42811621749876433,-43.880154739178145,35.714285714285715,-66.88366875319895,14,-1.56753022499442,2025-02-20,2025-12-20
KASUSDT,0.5176156715547502,-45.58156320304659,35.41666666666667,-66.96602763655066,48,-0.7011980695738244,2023-11-17,2025-12-20
KAVAUSDT,0.9957326641625914,-0.9979917258963744,35.714285714285715,-49.15178448194343,84,0.02501983245557552,2021-11-11,2025-12-20
KDAUSDT,1.726151582982314,48.886042428804565,45.0,-33.606092450246635,20,-0.13607866905800475,2024-09-18,2025-12-28
KERNELUSDT,0.5649873326753236,-30.644880461344858,23.076923076923077,-60.755966469293135,13,-0.8245940724767927,2025-04-14,2025-12-20
KEYUSDT,0.4480014811004583,-47.256851236067064,27.77777777777778,-55.339297433280066,36,-0.9271285266928996,2023-05-24,2025-12-28
KLAYUSDT,1.5424247302500684,111.18273615897922,41.37931034482759,-29.696977975399,58,0.5310052310912496,2021-10-12,2025-12-28
KMNOUSDT,1.821378351608599,33.0138987671706,43.75,-22.42858175364641,16,0.5276741188830454,2024-12-20,2025-12-20
KNCUSDT,0.8035421732267666,-50.32526828195072,28.888888888888886,-63.05813359955004,90,-0.20976217246979006,2021-11-11,2025-12-20
KOMAUSDT,0.7398661348997991,-28.42549248029106,38.095238095238095,-65.16777306001713,21,-0.7397357180954222,2024-12-10,2025-12-20
KSMUSDT,1.103034116761113,42.84471066260902,34.44444444444444,-52.43276992000684,90,0.2276673622443902,2021-11-11,2025-12-20
LAUSDT,0.4444635970480398,-17.30013235208966,40.0,-26.91290168476943,10,-2.106878177970748,2025-06-05,2025-12-20
LAYERUSDT,2.1337540971772984,71.4141301165101,63.63636363636363,-23.120958646862697,11,0.8488750262577778,2025-02-11,2025-12-20
LDOUSDT,0.4681643015909204,-87.89901200458218,25.0,-90.53941366362578,80,-1.1314452412171796,2022-09-22,2025-12-20
LEVERUSDT,0.19106802871261763,-95.87701924511343,15.873015873015872,-95.86927335776055,63,-1.2276636264175156,2023-03-30,2025-12-28
LINAUSDT,0.895111377607087,-50.413089504282574,27.956989247311824,-88.69443532414031,93,-0.0112550342310306,2021-03-19,2025-12-28
